location_id,name,description,web_url,city,rating,img_url1,img_url2,ID
16701378,Aarohi Holiday,"Aarohi Holiday Trekking offers wide range of Himalayan Treks join us we providing the best tour and trekking service all around Nepal, Bhutan, India and Tibet. We are committed to our Customer Satisfaction.",https://www.tripadvisor.com/Attraction_Review-g293890-d16701378-Reviews-Aarohi_Holiday-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,4,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/59/db/a7/thorong-la-pass-the-annapurna.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/59/db/a7/thorong-la-pass-the-annapurna.jpg,1
25433223,Pony Farm Pokhara,One of Nepal oldest pony friendly farm in Nepal.,https://www.tripadvisor.com/Attraction_Review-g293891-d25433223-Reviews-Pony_Farm_Pokhara-Pokhara_Gandaki_Zone_Western_Region.html?m=66827,Pokhara,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/5e/47/f0/ride-with-our-best-horses.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/5e/47/ed/ride-with-our-best-horses.jpg,2
13344832,Gandaki Tours and Travels,"With over 29+ years of experience, Gandaki Tours and Travels has been providing quality services to both inbound and outbound tourists. We are committed towards making your vacation safe, smooth and hassle free by providing a complete range of travel related products and services. Our comprehensive Travel Packages ranges from General & Sightseeing Tours, Adventure Sports & Mountaineering to Special Interest Tours. Trust us to deliver a Trip of a Lifetime!!",https://www.tripadvisor.com/Attraction_Review-g293890-d13344832-Reviews-Gandaki_Tours_and_Travels-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-o/11/b4/09/88/180-degree-himalayan.jpg,https://media-cdn.tripadvisor.com/media/photo-o/10/fc/1e/db/getlstd-property-photo.jpg,3
16708509,Royal Himalayan Safari,"We are Specialists, and provide the greatest value for your travel experience. Services are provided holistically through tailored travel programs built to give you a unforgettable experience and anticipatory services. We provide customized travel services that is organized accordingly to your specific needs and requirements. Our tours are professionally guided, intimate, and safe.",https://www.tripadvisor.com/Attraction_Review-g293890-d16708509-Reviews-Royal_Himalayan_Safari-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-o/16/88/b7/22/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-o/16/88/b7/4f/caption.jpg,4
15051112,AID Journeys & Adventure,"AID Journeys & Adventure well-acclaimed tour and trekking company in Kathmandu, Nepal. Operating over five years with well-established leading trekking and tour operators which offers more than 75-holiday exclusive packages in Nepal, India, Bhutan, and Tibet. Aid Journeys & Adventure Pvt. Ltd.",https://www.tripadvisor.com/Attraction_Review-g293890-d15051112-Reviews-AID_Journeys_Adventure-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-w/14/64/89/d6/swoyambhunath-stupa-world.jpg,https://media-cdn.tripadvisor.com/media/photo-o/1a/e1/2e/95/group-has-been-arrived.jpg,5
2186492,Paddle Nepal - Day Tours,"The Himalayan Whitewater Specialists - Paddle Nepal offers Whitewater Rafting, Kayaking, Kayak School & Canyoning Adventures throughout Nepal.",https://www.tripadvisor.com/Attraction_Review-g293891-d2186492-Reviews-Paddle_Nepal_Day_Tours-Pokhara_Gandaki_Zone_Western_Region.html?m=66827,Pokhara,5,https://media-cdn.tripadvisor.com/media/photo-o/02/37/a1/47/connect-with-locals-sun.jpg,https://media-cdn.tripadvisor.com/media/photo-o/02/37/a1/47/connect-with-locals-sun.jpg,6
19494141,yoga & meditation retreat with monks,We are group of monks who spent more than fifteen years in monastery.we are organizing 3 days to 2 weeks yoga meditation retreat. We would like to share our spiritual experience and peace with all of you.,https://www.tripadvisor.com/Attraction_Review-g293890-d19494141-Reviews-Yoga_meditation_retreat_with_monks-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centr.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-o/1a/1d/95/a3/caption.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/1d/a4/12/caption.jpg,7
12511749,Chetana Women Skill Development Project,4,https://www.tripadvisor.com/Attraction_Review-g293891-d12511749-Reviews-Chetana_Women_Skill_Development_Project-Pokhara_Gandaki_Zone_Western_Region.html?m=66827,Pokhara,5,https://media-cdn.tripadvisor.com/media/photo-o/0f/80/cb/10/chetana-women-skill-developmen.jpg,,8
15606343,Council Travel & Tours,"We offer mountaineering, trekking and rafting expeditions as well as complete tour packages throughout all of Nepal. Our team of professionals have years of tourism experience in Nepal and are dedicated to providing you with a trip full of unforgettable memories. See ‘Our Services’ for a list of tours offered or read more about the various activities available in beautiful Nepal.",https://www.tripadvisor.com/Attraction_Review-g293891-d15606343-Reviews-Council_Travel_Tours-Pokhara_Gandaki_Zone_Western_Region.html?m=66827,Pokhara,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/ad/3f/2b/getlstd-property-photo.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/1b/1e/c5/eb/paragliding.jpg,9
12792754,Touching The Void Trekking Nepal,"We are nature conscious experienced team with highest success rate. We take our guests for plantation to support good environment and sustainability. Our first priority is towards guest's safety and satisfaction. We organize various travel and adventure activities in Nepal. Bank on us with Trekking, Mountaineering, Expedition, Jungle Safari, Mountain Biking and Cycling, Bungee Jumping, Kayaking etc. You may know that Nepal has eight highest mountains among 14 mountains including the great Mt Everest.",https://www.tripadvisor.com/Attraction_Review-g293890-d12792754-Reviews-Touching_The_Void_Trekking_Nepal-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central.html?m=66827,Kathmandu,4,https://media-cdn.tripadvisor.com/media/photo-o/10/64/9c/d3/anapurna-trekking.jpg,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/a8/c5/9b/sundari-chowk-patan-durbar.jpg,10
12281927,Harmony Spa (Boudha),"A place for rejuvenation, Peaceful environment, Perfect place to soothe away your stress. fully air conditioned, Professional staffs, free wifi zone, hot & cold shower facility etc.",https://www.tripadvisor.com/Attraction_Review-g293890-d12281927-Reviews-Harmony_Spa_Boudha-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,3.5,https://media-cdn.tripadvisor.com/media/photo-o/0e/f6/e0/a6/spa-reception.jpg,https://media-cdn.tripadvisor.com/media/photo-o/0e/f6/e2/59/spa-room.jpg,11
7077048,Nepal Alternative Treks & Expeditions,"Nepal alternative Treks & Expeditions is privately owned and government authorized one of the leading trekking operators in Nepal. We are specialized in trekking, tour and adventure activities in the Himalayas. We ensure our clients get the highest service through our dedicated and experienced team.",https://www.tripadvisor.com/Attraction_Review-g293890-d7077048-Reviews-Nepal_Alternative_Treks_Expeditions-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centr.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-o/1b/fb/92/5f/sun-set-at-everest.jpg,https://media-cdn.tripadvisor.com/media/photo-o/06/e7/0c/8a/gokyo-ri-climbing.jpg,12
4064997,Himalayan Quests - Day Tours,"Himalayan Quests (HQ) is a Nepali company run by internationally accredited outdoors experts, educators and enthusiasts, each with over a decade of experience leading trips and expeditions at home and abroad. Nepal is not just a trekker’s paradise, but somewhere that can cater to every kind of traveler. This tiny, land locked country can boast some of the world’s best white water, amazing mountain biking trails, fascinating old towns, magnificent temples, ancient traditions, ethnic diversity and history stretching back thousands of years, as well as opportunities to see highly endangered wildlife in the jungles of its national parks. HQ specialise in treks that are off-the-beaten-path enabling you to experience the solitude, beauty and unique cultures the mountains and their people have to offer. As an organisation, HQ is aware of the fragility of the regions explored and seeks to improve and develop the communities they encounter, through the provision of jobs and education for local staff. HQ believes in an honest service, with no hidden costs or surprises, and through their work they help support Nepali children and communities in need by donating a percentage of their annual profits to projects run by local partners. HQ will create for you a tailor-made trip of a lifetime according to your requirements, budgets and timescales from a day day tours to multi days adventures. Each itinerary is created to suit your interests and desires, giving you as much help, guidance or freedom as you wish, while maintaining the company’s responsible travel ethics.If you would like to travel in an area not mentioned on our website, or customise an existing itinerary we will happily accommodate your needs.",https://www.tripadvisor.com/Attraction_Review-g293890-d4064997-Reviews-Himalayan_Quests_Day_Tours-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/60/b4/bd/aamadablam-for-several.jpg,https://media-cdn.tripadvisor.com/media/photo-o/03/e6/cc/4d/bahari-shikhar-off-the.jpg,13
12459740,Firante Treks and Expeditions,4,https://www.tripadvisor.com/Attraction_Review-g293890-d12459740-Reviews-Firante_Treks_and_Expeditions-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html?m=66827,Kathmandu,5,https://media-cdn.tripadvisor.com/media/photo-o/0f/80/eb/08/trekking-in-limi-humla.jpg,https://media-cdn.tripadvisor.com/media/photo-w/28/c2/b2/45/firante-treks-and-expeditions.jpg,14
